attack_id,attack_name,category,subcategory,primary_language,secondary_languages,complexity_time,complexity_space,applicable_to,param_variation_1,param_variation_2,param_variation_3,success_criteria,reference_paper,implementation_priority
BF-001,ExhaustiveKeySearch,brute_force,exhaustive,Python,"C++,Rust",O(2^n),O(1),all_ciphers,"max_time=100ms,simulated_ops=1M","max_time=500ms,simulated_ops=10M","max_time=2000ms,simulated_ops=100M",key_size<=64_bits,"Schneier (1996)",high
BF-002,DictionaryAttack,brute_force,dictionary,Python,Rust,O(d),O(d),password_based,"dict_size=10K,common","dict_size=100K,extended","dict_size=1M,leaked",weak_passwords_detected,"Morris & Thompson (1979)",high
BF-003,RainbowTableAttack,brute_force,time_memory_tradeoff,Rust,C++,O(sqrt(n)),O(n),hashes,"table_size=10K,chain_length=100","table_size=100K,chain_length=1000","table_size=1M,chain_length=10000",hash_found_in_table,"Oechslin (2003)",medium
BF-004,MeetInTheMiddleAttack,brute_force,mitm,C++,Python,O(2^(n/2)),O(2^(n/2)),double_encryption,"search_space=2^32,memory=1GB","search_space=2^40,memory=10GB","search_space=2^48,memory=100GB",feasibility_assessment,"Diffie & Hellman (1977)",medium
BF-005,BirthdayAttack,brute_force,birthday,C++,Python,O(2^(n/2)),O(2^(n/2)),hashes,"sample_size=2^16,hash_bits=128","sample_size=2^20,hash_bits=160","sample_size=2^24,hash_bits=256",collision_found_or_feasible,"Yuval (1979)",high
BF-006,TimeMemoryTradeoff,brute_force,tmto,C++,Rust,O(N^(2/3)),O(N^(2/3)),block_stream_ciphers,"table_size=2^20,chains=1K","table_size=2^24,chains=10K","table_size=2^28,chains=100K",tradeoff_calculated,"Hellman (1980)",medium
BF-007,ParallelBruteForce,brute_force,parallel,Rust,C++,O(2^n/p),O(2^n),all_ciphers,"threads=4,partition=4","threads=16,partition=16","threads=64,partition=64",speedup_measured,"Kumar et al. (1994)",high
BF-008,HybridAttack,brute_force,hybrid,Python,Rust,O(d+2^k),O(d),password_based,"dict=10K,brute_chars=2","dict=100K,brute_chars=4","dict=1M,brute_chars=6",combined_success,"Weir et al. (2009)",medium
STAT-001,FrequencyAnalysisAttack,statistical,frequency,Python,C++,O(n),O(256),symmetric_ciphers,"min_samples=256,top_n=10","min_samples=1024,top_n=20,chi_square","min_samples=4096,full_analysis,patterns",deviation_from_uniform,"Kahn (1967)",high
STAT-002,IndexOfCoincidenceAttack,statistical,ioc,Python,,O(n^2),O(256),block_stream_ciphers,"window_size=256","window_size=1024,sliding","window_size=4096,multiple_windows",ioc_gt_0.045,"Friedman (1920)",high
